,F1Score_class0,Recall_class0,Precision_class0,F1Score_class1,Recall_class1,Precision_class1
50,0.5311432147051949,0.8917101276422619,0.37821166437738585,0.14928738223689508,0.08611026820771672,0.5605498669676691
51,0.5654794692038057,0.6761696617641577,0.4859315916584639,0.3219741365838412,0.25646311956668927,0.4324356233028558
52,,0.0,0.0,0.9888136273163506,0.978976432978629,0.9988505254462494
53,0.21257541705242797,0.11902229210942936,0.9934056036285264,0.021177648382583843,0.9235074623419749,0.010711642581700619
54,0.4562097848137501,0.30327633756037903,0.9202805161765444,0.5372174226189005,0.9410840631222963,0.37589984041265434
55,0.06503740150105523,0.05866318231862256,0.07296570275722931,0.8314562223808055,0.848067782595816,0.8154829194192249
56,0.5914869895160856,0.6984032613938167,0.5129596706278656,0.9515297250356854,0.9345546446674103,0.9691328781352816
57,0.31687118699111555,0.7283391095319467,0.20248136015297274,0.8655511676216131,0.7789423515410353,0.9738289817701778
58,0.6539052496798976,0.5109773877174613,0.9078419422012292,0.9088030307412013,0.9811168579732695,0.8464173168257274
59,0.8139848006559137,0.8107101117718797,0.8172860516285604,0.40864054840381014,0.4139562675557321,0.40345961941038516
60,0.521926522900707,0.7504244481854658,0.4000995722917468,0.9290553490501359,0.8888902860171307,0.9730219540730884
61,0.7040544075333508,0.8340873876148691,0.6090970807875085,0.9767229425294923,0.9648915283547964,0.9888481101775054
62,,0.0,0.0,0.9907853882860668,0.981739044185708,1.0
63,0.19002093785801763,0.1524235663926327,0.25223921297170304,0.7422452309773385,0.8054700630781357,0.6882235826755132
64,0.3605000566957705,0.25911285885756524,0.592232105434732,0.764510000417554,0.8932103960039686,0.6682268998804733
65,0.33044850582904856,0.39423018521747766,0.2844310065290741,0.9457651721023831,0.9335311524349515,0.9583241059154365
66,0.3498562079663051,0.22812846068323178,0.7501092392095936,0.8682878940100833,0.973526250001422,0.7835824911921904
67,0.8006012893030248,0.8556539649669278,0.7522045376355768,0.9507908235456385,0.9359298482123284,0.9661313473518367
68,0.5374541953610831,0.3674785388937292,1.0,0.8885601554567251,0.9999999999946725,0.7994676093530388
69,0.4747989971470563,0.6082622660220518,0.389365473236441,0.765282185732027,0.69694029887908,0.848484477599153
70,0.2296034050678229,0.2491152352107865,0.2129260734838424,0.8705619209082343,0.859254405442395,0.8821710116397721
71,0.22512497729480427,0.16236074089077576,0.3669953909931251,0.7532671972640288,0.8590027414809817,0.6707089343370338
72,0.2743701376522605,0.18512325712967928,0.5297685972022487,0.7154278977262167,0.8822250455088984,0.6016730758065021
73,0.5993413830954994,0.4486198813786287,0.9025777867284261,0.7914715171059767,0.9591952932177783,0.6736737132080688
74,0.02657266811279826,0.01693523998753758,0.06166430706308007,0.876547455295736,0.9447301366646063,0.8175440003207313
75,0.30415877213309156,0.21449994231909678,0.522600590191578,0.8867904862227642,0.9514966925191477,0.8303245499283624
76,0.32152031454783747,0.3522081203496119,0.2957515551912041,0.9467558594473173,0.9403263174630908,0.9532739315761349
77,0.5718136536771169,0.44481114443421,0.8003215064875416,0.7933762774362484,0.9201545353711528,0.6973024291558348
78,0.25185927968580263,0.15601798443878462,0.6529866914268029,0.8577337186364264,0.9711818228500941,0.7680180821093626
79,0.7698699974509304,0.819993483912178,0.7255212837513212,0.933388752527066,0.9171612790923113,0.9502007991907943
80,0.2978086319684169,0.1926422147354005,0.6558444285774288,0.8244345790158837,0.954751031266989,0.725420101957329
81,0.5167310944672626,0.6017528557677994,0.4527604894364706,0.7769619321602996,0.7293991416270836,0.8311603883865735
82,0.2985284585361817,0.3299091629479391,0.27259904793088685,0.8874161924303696,0.8740723299197077,0.9011737943994138
83,0.5055865921787709,0.4134394314828844,0.6505896725085749,0.8694073395380238,0.9237915167864451,0.821070416890581
84,0.28873279944779273,0.19336226747653715,0.569742218634919,0.6974457962346224,0.8826233253223239,0.5764950696186033
85,0.4013499026407334,0.2976553626456462,0.6159179425194735,0.6794646517893751,0.835265401336113,0.5726492773082695
86,0.2962444970677516,0.20360458765257008,0.5435670127143357,0.9040221775723014,0.9638303084038664,0.8512028669621793
87,,0.0,0.0,0.9418007358922037,0.910204193094301,0.975669832348501
88,0.8561304039688165,0.761705613512528,0.977278698953133,0.9338782464414075,0.9902992300730344,0.8835397428265896
89,0.003578659886047935,0.005354375087688152,0.0026874115983026876,0.9121611244173063,0.8862512603311705,0.9396315807477851
90,,0.0,0.0,0.8511475639738977,0.978743347842189,0.7529834138473825
91,0.007843865308301038,0.005170093000331311,0.016245313851773528,0.9111528126733958,0.955398856421469,0.870823584557144
92,,0.0,0.0,0.9897410995753078,0.98644132897643,0.9930630205634653
93,0.24267324020816214,0.2831877263406802,0.2123003194888179,0.9838409615553196,0.9808468407542373,0.9868534179550109
94,0.013265342509717221,0.007402985074332219,0.06374228923920494,0.9442392366673721,0.9884734979010608,0.9037943724780694
95,0.03501041176865722,0.02093609910469759,0.10682079029349073,0.8403278404278731,0.9454996573359337,0.7562113416497963
96,0.3102843242812139,0.2431106667423886,0.42875247961207846,0.92704172238228,0.9549531150833197,0.9007155855014016
97,0.3521004293244932,0.30407371483520423,0.41814387746321313,0.8271681300467283,0.8635519770718509,0.7937262357414449
